MUNICIPI,COMARCA,PROVINCIA,G,DA,N,E,S,C,U,Ch,HR,LLOC_NAIX,LLENGUA_IDENTIFICACIO,IMP_FAMILIA,IMP_AMICS,IMP_LLEURE,IMP_POLITICA,IMP_TREBALL,IMP_RELIGIO,SATIS_VIDA,CONFI_SOCIAL_WVS_1,SALUT,FELICITAT,ACTITUD_ECONOMIA,ACTITUD_IMMIGRACIO,ACTITUD_MEDIAMBIENT,DESIGUALTATS_GENERE,ECON_MERITOCRACIA,MEDIAMBIENT_CREIXEMENT,IMMIGRACIO_CULTURA,CONFI_POLICIA,CONFI_POLITICS,IDEOL_0_10,PERSONA_RELIGIOSA,DEPENDENCIA_ECO_PARES,INGRESSOS_1_15,INFO_POL_TV_FREQ,FREQ_CONSUM_INTERNET,Inglehart_index,Universalism,Stimulation,Hedonism,Self-Direction,Achievement,Power,Security,Conformity,Tradition,Benevolence
 ,Vallès Oriental,Barcelona,Femení,2,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Solter/a,Classe treballadora mitjana,Treballo,1,3,A Catalunya,Català,Molt important,Bastant important,Molt important,Poc important,Bastant important,Poc important,5,Un mai no és prou prudent,Ni bona ni dolenta,No gaire feliç,Ni d’acord ni en desacord,1,1,3,3,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",5,1,4,1,Un/a ateu/a,Sí,De 2.401 a 3.000 €,Tots els dies,Tots els dies,2,6,3,4,3,3,3,4,3,4,4
Manresa,Bages,Barcelona,Femení,5,"Sí, tinc la ciutadania espanyola","Formació professional de grau mig (FP1, CFGM i equivalents)",Casat/ada,Classe mitjana,Treballo,2,1,A Catalunya,Català,Bastant important,Bastant important,Bastant important,Bastant important,Bastant important,Gens important,8,Es pot confiar en la majoria de la gent,Ni bona ni dolenta,Bastant feliç,En desacord,3,3,3,5,S'ha de trobar un equilibri per donar prioritat a ambdues coses / creixement econòmic sostenible,4,1,3,2,Un/a ateu/a,No,De 3.001 a 4.000 €,5-6 dies per setmana,Tots els dies,2,6,3,2,4,2,1,3,3,3,3
 ,Moianès,Barcelona,Masculí,1,"Sí, tinc la ciutadania espanyola","Formació professional de grau mig (FP1, CFGM i equivalents)",Solter/a,Classe treballadora mitjana,No treballo,1,1,A Catalunya,Català,Molt important,Bastant important,Molt important,Molt important,Bastant important,Gens important,6,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,Molt en desacord,3,3,3,5,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",8,1,0 No hi confio en absolut,1,Un/a ateu/a,Sí,No ho sé,1-2 dies per setmana,Tots els dies,5,6,2,2,3,0,1,2,2,2,3
Mollet del Vallès,Vallès Oriental,Barcelona,Masculí,5,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Català,Molt important,Bastant important,Bastant important,Bastant important,Molt important,Poc important,6,Un mai no és prou prudent,Ni bona ni dolenta,No gaire feliç,Molt d’acord,1,3,2,8,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",0 La vida cultural catalana s’empobreix,1,1,2,Una persona no religiosa,No,De 2.401 a 3.000 €,Tots els dies,Tots els dies,5,3,2,3,3,3,3,3,2,3,3
Vilanova i la Geltrú,Garraf,Barcelona,Masculí,5,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe mitjana,Treballo,2,3,A d'altres comunitats autònomes,Castellà,Molt important,Bastant important,Bastant important,Bastant important,Molt important,Gens important,8,Es pot confiar en la majoria de la gent,Bona,Molt feliç,Ni d’acord ni en desacord,3,3,2,3,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",8,3,3,3,Un/a ateu/a,No,De 4.001 a 4.500 €,Tots els dies,Tots els dies,3,6,2,2,3,3,3,3,2,2,2
Sant Cugat del Vallès,Vallès Occidental,Barcelona,Femení,6,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe mitjana alta,No treballo,2,1,A d'altres comunitats autònomes,Castellà,Molt important,Molt important,Bastant important,Bastant important,Gens important,Gens important,8,Es pot confiar en la majoria de la gent,Bona,Molt feliç,Molt d’acord,1,3,2,4,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",3,2,1,2,Una persona no religiosa,No,De 4.001 a 4.500 €,Tots els dies,Tots els dies,4,6,2,1,4,3,2,2,2,2,3
Montgat,Maresme,Barcelona,Femení,2,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,No treballo,2,3,A Catalunya,Català,Molt important,Molt important,Molt important,Bastant important,Bastant important,Gens important,9,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,En desacord,3,3,3,3,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",10 La vida cultural catalana s’enriqueix,3,5,1,Un/a ateu/a,No,Valor perdut per prefereixo no contestar,1-2 dies per setmana,Tots els dies,4,5,3,4,4,2,2,3,3,3,4
Sant Cugat del Vallès,Vallès Occidental,Barcelona,Femení,4,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Català,Molt important,Molt important,Molt important,Poc important,Bastant important,Gens important,6,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,Ni d’acord ni en desacord,3,3,3,4,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",8,1,3,1,Una persona no religiosa,No,De 4.501 a 5.000 €,3-4 dies per setmana,Tots els dies,4,3,2,2,2,1,1,1,2,2,2
Cerdanyola del Vallès,Vallès Occidental,Barcelona,Masculí,4,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Solter/a,Classe treballadora mitjana,No treballo,1,1,A Catalunya,Castellà,Molt important,Molt important,Molt important,Bastant important,Molt important,Gens important,9,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,Ni d’acord ni en desacord,2,3,3,3,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",3,2,4,1,Un/a ateu/a,No,De 3.001 a 4.000 €,1-2 dies per setmana,Tots els dies,3,5,3,3,3,2,1,3,3,3,3
Balaguer,Noguera,Lleida,Masculí,4,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Casat/ada,Classe treballadora mitjana,Treballo,2,3,A d'altres comunitats autònomes,Català,Molt important,Bastant important,Bastant important,Poc important,Molt important,Poc important,7,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,En desacord,2,3,2,6,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",7,3,3,1,Una persona religiosa,No,De 3.001 a 4.000 €,3-4 dies per setmana,Tots els dies,2,6,2,2,2,2,1,4,2,3,4
 ,Bages,Barcelona,Femení,4,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Casat/ada,Classe treballadora alta,No treballo,2,3,A Catalunya,Català,Molt important,Molt important,Molt important,Poc important,Molt important,Gens important,10 Molt satisfet/a,Es pot confiar en la majoria de la gent,Molt bona,Molt feliç,En desacord,3,1,3,4,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",0 La vida cultural catalana s’empobreix,3,3,1,Un/a ateu/a,No,De 5.001 a 6.000 €,1-2 dies per setmana,Tots els dies,1,5,4,4,3,4,3,4,4,3,4
 ,Osona,Barcelona,Femení,4,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Català,Molt important,Molt important,Molt important,Bastant important,Molt important,Gens important,7,Un mai no és prou prudent,Ni bona ni dolenta,Bastant feliç,Ni d’acord ni en desacord,1,3,3,9,Cap de les dues,0 La vida cultural catalana s’empobreix,1,0 No hi confio en absolut,1,Una persona religiosa,No,Valor perdut per prefereixo no contestar,3-4 dies per setmana,Tots els dies,2,5,2,2,4,4,3,4,2,4,4
Castelldefels,Baix Llobregat,Barcelona,Masculí,4,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Solter/a,Classe treballadora mitjana,No treballo,1,2,A Catalunya,Català,Molt important,Poc important,Molt important,Poc important,Bastant important,Gens important,7,Un mai no és prou prudent,Bona,Bastant feliç,D’acord,1,3,2,5,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",5,2,2,1,Una persona no religiosa,No,De 4.001 a 4.500 €,Amb menys freqüència,Tots els dies,3,6,1,2,3,0,0,3,1,2,4
Amposta,Montsià,Tarragona,Masculí,3,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Solter/a,Classe treballadora mitjana,No treballo,2,3,A Catalunya,Català,Bastant important,Bastant important,Bastant important,Bastant important,Bastant important,Gens important,6,Es pot confiar en la majoria de la gent,Ni bona ni dolenta,Bastant feliç,Ni d’acord ni en desacord,2,1,2,5,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",5,2,0 No hi confio en absolut,1,Una persona no religiosa,No,De 3.001 a 4.000 €,3-4 dies per setmana,Tots els dies,2,6,3,2,4,2,2,4,3,3,4
 ,Val d'Aran,Lleida,Masculí,2,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Solter/a,Classe treballadora mitjana,Treballo,1,2,A Catalunya,Català,Molt important,Molt important,Molt important,Gens important,Bastant important,Gens important,10 Molt satisfet/a,Un mai no és prou prudent,Molt bona,Molt feliç,D’acord,3,3,3,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",5,1,0 No hi confio en absolut,1,Una persona no religiosa,No,De 901 a 1000 €,3-4 dies per setmana,Tots els dies,5,6,4,4,3,2,2,2,4,3,4
"Garriga, la",Vallès Oriental,Barcelona,Masculí,5,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Català,Molt important,Molt important,Bastant important,Bastant important,Molt important,Gens important,7,Un mai no és prou prudent,Bona,Bastant feliç,Ni d’acord ni en desacord,3,3,2,7,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",6,2,3,1,Una persona no religiosa,No,De 2.001 a 2.400 €,5-6 dies per setmana,Tots els dies,6,6,2,3,4,0,2,3,2,1,4
Barcelona,Barcelonès,Barcelona,Masculí,2,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Parella de fet,Classe treballadora mitjana,Treballo,1,2,A d'altres comunitats autònomes,Castellà,Bastant important,Molt important,Molt important,Molt important,Molt important,Bastant important,7,Un mai no és prou prudent,Bona,Bastant feliç,Molt en desacord,3,3,3,7,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",10 La vida cultural catalana s’enriqueix,2,5,1,Una persona no religiosa,No,De 4.001 a 4.500 €,Tots els dies,Tots els dies,6,6,3,3,4,3,2,4,3,2,4
"Franqueses del Vallès, les",Vallès Oriental,Barcelona,Masculí,4,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe mitjana alta,Treballo,2,3,A Catalunya,Català,Molt important,Bastant important,Molt important,Bastant important,Bastant important,Poc important,7,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,Ni d’acord ni en desacord,3,3,3,5,"S'ha de prioritzar el medi ambient malgrat que alenteixi el creixement econòmic, però han de convervar-se i/o augmentar",7,3,5,2,Una persona no religiosa,No,Més de 6.000 €,1-2 dies per setmana,Tots els dies,5,6,2,3,4,2,2,4,2,2,2
Granollers,Vallès Oriental,Barcelona,Masculí,3,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Català,Molt important,Bastant important,Molt important,Poc important,Bastant important,Gens important,8,Un mai no és prou prudent,Bona,Molt feliç,Ni d’acord ni en desacord,2,3,2,4,S'ha de trobar un equilibri per donar prioritat a ambdues coses / creixement econòmic sostenible,5,2,3,1,Un/a ateu/a,No,De 3.001 a 4.000 €,Amb menys freqüència,Tots els dies,3,5,2,3,4,2,1,2,2,2,3
 ,Anoia,Barcelona,Masculí,4,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Casat/ada,Classe treballadora mitjana,No treballo,2,3,A Catalunya,Castellà,Molt important,Bastant important,Molt important,Molt important,Bastant important,Gens important,9,Es pot confiar en la majoria de la gent,Molt bona,Molt feliç,Molt en desacord,3,3,3,2,"S'ha de prioritzar el medi ambient malgrat que alenteixi el creixement econòmic, però han de convervar-se i/o augmentar",10 La vida cultural catalana s’enriqueix,1,8,1,Un/a ateu/a,No,De 1.801 a 2.000 €,1-2 dies per setmana,Tots els dies,6,6,2,4,4,0,0,2,2,3,4
Cardedeu,Vallès Oriental,Barcelona,Femení,1,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Solter/a,Classe treballadora mitjana,Treballo,1,3,A Catalunya,Català,Molt important,Molt important,Bastant important,Molt important,Bastant important,Gens important,3,Un mai no és prou prudent,Molt bona,Bastant feliç,D’acord,3,3,3,8,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",8,1,3,1,Un/a ateu/a,Sí,No ho sé,Amb menys freqüència,Tots els dies,5,6,3,2,3,2,0,2,3,3,4
Manresa,Bages,Barcelona,Femení,1,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Solter/a,Classe treballadora mitjana,Treballo,1,3,A Catalunya,Català,Molt important,Molt important,Molt important,Poc important,Bastant important,Gens important,9,Es pot confiar en la majoria de la gent,Molt bona,Bastant feliç,Ni d’acord ni en desacord,3,3,2,4,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",7,3,4,2,Una persona no religiosa,Sí,De 5.001 a 6.000 €,Tots els dies,Tots els dies,3,5,4,4,4,2,3,4,4,3,4
 ,Baix Ebre,Tarragona,Masculí,1,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Solter/a,Classe treballadora mitjana,No treballo,1,3,A Catalunya,Català,Molt important,Molt important,Bastant important,Bastant important,Bastant important,Poc important,8,Un mai no és prou prudent,Molt bona,Bastant feliç,D’acord,1,3,1,6,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",8,2,3,1,Una persona religiosa,Sí,De 1001 a 1200 €,5-6 dies per setmana,Tots els dies,2,3,1,2,4,4,1,4,1,4,4
Gavà,Baix Llobregat,Barcelona,Masculí,6,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe mitjana,Treballo,2,1,A Catalunya,Català,Bastant important,Bastant important,Molt important,Poc important,Molt important,Gens important,8,Un mai no és prou prudent,Molt bona,Molt feliç,D’acord,1,3,2,2,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",3,1,0 No hi confio en absolut,2,Una persona no religiosa,No,Valor perdut per prefereixo no contestar,Mai,Tots els dies,2,3,1,2,4,2,2,3,1,2,2
 ,Baix Camp,Tarragona,Femení,1,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Solter/a,Classe mitjana alta,Treballo,1,3,A Catalunya,Català,Molt important,Molt important,Bastant important,Bastant important,Molt important,Poc important,7,Un mai no és prou prudent,Molt bona,Bastant feliç,Ni d’acord ni en desacord,1,3,2,3,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",4,2,2,1,Una persona religiosa,Sí,De 4.501 a 5.000 €,Tots els dies,Tots els dies,5,5,2,3,2,2,2,4,2,3,3
Sant Cugat del Vallès,Vallès Occidental,Barcelona,Femení,4,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Solter/a,Classe treballadora baixa,Treballo,1,1,Fora d'Espanya,Castellà,Molt important,Molt important,Molt important,Bastant important,Molt important,Poc important,4,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,En desacord,2,2,2,9,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",10 La vida cultural catalana s’enriqueix,2,5,1,Un/a ateu/a,No,De 301 a 600 €,3-4 dies per setmana,Tots els dies,4,5,4,3,4,4,1,4,4,1,4
Sant Adrià de Besòs,Barcelonès,Barcelona,Masculí,1,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Parella de fet,Classe treballadora alta,No treballo,1,1,A Catalunya,Castellà,Molt important,Poc important,Bastant important,Poc important,Bastant important,Bastant important,10 Molt satisfet/a,Un mai no és prou prudent,Bona,Molt feliç,Molt d’acord,1,1,2,10 Esforçar-se en el treball no acostuma a conduir a l’èxit. Això depèn més de la sort i els contactes,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",1,2,0 No hi confio en absolut,2,Una persona religiosa,No,De 2.401 a 3.000 €,Amb menys freqüència,Tots els dies,1,4,3,3,4,3,0,4,3,4,3
Barcelona,Barcelonès,Barcelona,Femení,3,"No, no tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe mitjana,No treballo,1,1,Fora d'Espanya,Altres opcions,Molt important,Molt important,Molt important,Bastant important,Bastant important,Gens important,9,Es pot confiar en la majoria de la gent,Bona,Molt feliç,Molt en desacord,3,3,3,3,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",10 La vida cultural catalana s’enriqueix,3,5,1,Una persona no religiosa,No,Més de 6.000 €,Mai,Tots els dies,2,6,3,3,4,4,2,3,3,3,4
Sant Boi de Llobregat,Baix Llobregat,Barcelona,Femení,4,"Sí, tinc la ciutadania espanyola","Formació professional de grau mig (FP1, CFGM i equivalents)",Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Castellà,Molt important,Bastant important,Molt important,Gens important,Bastant important,Poc important,6,Es pot confiar en la majoria de la gent,Ni bona ni dolenta,Bastant feliç,Ni d’acord ni en desacord,3,2,2,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",5,2,5,2,Una persona religiosa,No,De 2.401 a 3.000 €,Mai,Tots els dies,2,5,2,3,4,2,2,4,2,4,4
Barcelona,Barcelonès,Barcelona,Femení,4,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Solter/a,Classe treballadora mitjana,Treballo,1,2,A Catalunya,Castellà,Molt important,Molt important,Molt important,Molt important,Bastant important,Poc important,6,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,Molt en desacord,2,3,3,6,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",5,3,6,1,Un/a ateu/a,No,De 3.001 a 4.000 €,3-4 dies per setmana,Tots els dies,5,6,1,2,3,2,1,2,1,2,4
Sant Feliu de Llobregat,Baix Llobregat,Barcelona,Masculí,5,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Català,Molt important,Molt important,Molt important,Poc important,Bastant important,Gens important,8,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,En desacord,2,3,3,3,S'ha de trobar un equilibri per donar prioritat a ambdues coses / creixement econòmic sostenible,4,2,3,2,Una persona no religiosa,No,De 5.001 a 6.000 €,Tots els dies,Tots els dies,6,5,2,2,3,2,2,2,2,1,3
 ,Alt Camp,Tarragona,Femení,5,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Divorciat/ada,Classe treballadora baixa,No treballo,1,1,A Catalunya,Català,Molt important,Molt important,Molt important,Poc important,Bastant important,Gens important,8,Un mai no és prou prudent,Bona,Bastant feliç,En desacord,2,3,3,6,"S'ha de prioritzar el medi ambient malgrat que alenteixi el creixement econòmic, però han de convervar-se i/o augmentar",5,1,1,1,Un/a ateu/a,No,De 601 a 900 €,1-2 dies per setmana,Tots els dies,4,6,2,2,4,2,2,4,2,3,4
Terrassa,Vallès Occidental,Barcelona,Femení,2,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Solter/a,Classe treballadora mitjana,No treballo,1,3,A Catalunya,Català,Molt important,Bastant important,Bastant important,Bastant important,Bastant important,Poc important,4,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,En desacord,3,3,3,5,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",7,2,5,1,Un/a ateu/a,No,De 1.201 a 1.800 €,Amb menys freqüència,Tots els dies,5,6,4,4,4,2,1,2,4,3,4
 ,Maresme,Barcelona,Masculí,5,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Parella de fet,Classe treballadora mitjana,Treballo,2,3,A d'altres comunitats autònomes,Castellà,Molt important,Molt important,Molt important,Bastant important,Bastant important,Gens important,7,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,Ni d’acord ni en desacord,3,2,2,5,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",8,3,0 No hi confio en absolut,2,Un/a ateu/a,No,De 3.001 a 4.000 €,3-4 dies per setmana,Tots els dies,4,6,4,3,4,2,3,4,4,1,3
Vallirana,Baix Llobregat,Barcelona,Masculí,3,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Casat/ada,Classe treballadora mitjana,No treballo,2,3,A Catalunya,Altres opcions,Molt important,Bastant important,Molt important,Poc important,Bastant important,Poc important,9,Un mai no és prou prudent,Molt bona,Bastant feliç,D’acord,1,1,1,5,"S'ha de prioritzar el medi ambient malgrat que alenteixi el creixement econòmic, però han de convervar-se i/o augmentar",0 La vida cultural catalana s’empobreix,3,0 No hi confio en absolut,2,Una persona religiosa,No,De 2.401 a 3.000 €,Mai,Tots els dies,0,4,0,3,4,3,1,3,0,4,4
Olesa de Montserrat,Baix Llobregat,Barcelona,Femení,2,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Solter/a,Classe treballadora alta,No treballo,1,1,A Catalunya,Català,Molt important,Molt important,Molt important,Bastant important,Molt important,Poc important,8,Es pot confiar en la majoria de la gent,Molt bona,Molt feliç,Ni d’acord ni en desacord,3,3,3,5,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",8,3,5,1,Una persona no religiosa,No,De 3.001 a 4.000 €,Amb menys freqüència,Tots els dies,4,5,2,4,4,3,1,2,2,2,4
Terrassa,Vallès Occidental,Barcelona,Masculí,3,"No, no tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe mitjana,No treballo,2,3,Fora d'Espanya,Castellà,Molt important,Bastant important,Bastant important,Bastant important,Molt important,Bastant important,6,Es pot confiar en la majoria de la gent,Molt bona,Molt feliç,En desacord,2,2,2,5,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",6,3,4,2,Una persona religiosa,No,De 1.201 a 1.800 €,1-2 dies per setmana,Tots els dies,0,6,1,2,3,0,0,3,1,4,4
Tarragona,Tarragonès,Tarragona,Femení,2,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Solter/a,Classe treballadora mitjana,No treballo,1,3,A Catalunya,Català,Molt important,Molt important,Molt important,Poc important,Bastant important,Gens important,4,Un mai no és prou prudent,Bona,Bastant feliç,En desacord,3,3,2,5,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",10 La vida cultural catalana s’enriqueix,2,0 No hi confio en absolut,1,Un/a ateu/a,No,De 4.001 a 4.500 €,Amb menys freqüència,Tots els dies,4,6,4,2,4,3,1,2,4,3,4
Vic,Osona,Barcelona,Femení,1,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Parella de fet,Classe mitjana,Treballo,1,2,A Catalunya,Català,Molt important,Poc important,Bastant important,Poc important,Bastant important,Poc important,6,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,En desacord,3,3,3,5,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",8,2,1,2,Una persona no religiosa,No,Valor perdut per prefereixo no contestar,Amb menys freqüència,Tots els dies,2,6,2,3,3,4,3,3,2,3,3
Igualada,Anoia,Barcelona,Masculí,4,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Parella de fet,Classe mitjana,Treballo,1,1,A Catalunya,Castellà,Molt important,Bastant important,Molt important,Molt important,Bastant important,Bastant important,8,Un mai no és prou prudent,Molt bona,Bastant feliç,En desacord,1,2,2,5,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",5,3,8,2,Una persona religiosa,No,De 1.801 a 2.000 €,Tots els dies,Tots els dies,0,5,3,4,2,4,2,2,3,3,4
Manresa,Bages,Barcelona,Masculí,3,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Parella de fet,Classe mitjana alta,Treballo,1,1,A Catalunya,Castellà,Molt important,Molt important,Molt important,Bastant important,Molt important,Gens important,9,Es pot confiar en la majoria de la gent,Molt bona,Molt feliç,Ni d’acord ni en desacord,1,1,1,2,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",2,3,1,2,Un/a ateu/a,No,De 5.001 a 6.000 €,Tots els dies,Tots els dies,2,6,2,4,3,1,2,4,2,2,4
 ,Priorat,Tarragona,Femení,6,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Vidu/a,Classe treballadora mitjana,No treballo,2,3,A Catalunya,Català,Molt important,Molt important,Bastant important,Bastant important,Molt important,Molt important,7,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,En desacord,2,1,3,4,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",3,3,3,2,Una persona religiosa,No,De 1.801 a 2.000 €,3-4 dies per setmana,5-6 dies per setmana,1,6,1,2,3,2,3,4,1,4,4
 ,Osona,Barcelona,Femení,5,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,Treballo,2,2,A Catalunya,Català,Molt important,Molt important,Bastant important,Bastant important,Molt important,Bastant important,7,Un mai no és prou prudent,Bona,Bastant feliç,En desacord,3,3,3,6,"S'ha de prioritzar el medi ambient malgrat que alenteixi el creixement econòmic, però han de convervar-se i/o augmentar",10 La vida cultural catalana s’enriqueix,2,4,2,Una persona religiosa,No,Valor perdut per prefereixo no contestar,5-6 dies per setmana,Tots els dies,4,6,1,2,2,1,0,4,1,4,4
